time,l_abs,l_per,b_abs,b_per
1730186236,1816,7.1,866,4.6
1730186237,1820,7.1,867,4.6
1730186243,1840,7.2,878,4.7
1730186248,1854,7.2,882,4.7
1730186249,1870,7.3,891,4.7
1730186251,1884,7.3,894,4.8
1730186252,1884,7.3,894,4.8
1730186256,1884,7.3,896,4.8
1730186257,1913,7.5,912,4.9
1730186263,1935,7.5,928,4.9
1730186264,1936,7.5,945,5.0
1730186266,1942,7.6,953,5.1
1730186267,1942,7.6,953,5.1
1730186273,1942,7.6,953,5.1
1730186280,1955,7.6,977,5.2
1730186289,1955,7.6,977,5.2
1730186290,1955,7.6,977,5.2
1730186292,1955,7.6,979,5.2
1730186293,1955,7.6,980,5.2
1730186295,1955,7.6,980,5.2
1730186296,1955,7.6,983,5.2
1730186302,1955,7.6,983,5.2
1730186303,1956,7.6,986,5.2
1730186305,1956,7.6,986,5.2
1730186306,1956,7.6,986,5.2
1730186307,1956,7.6,989,5.3
1730186312,1956,7.6,995,5.3
1730186313,1958,7.6,997,5.3
1730186314,1958,7.6,998,5.3
1730186319,1958,7.6,998,5.3
1730186321,1958,7.6,998,5.3
1730186327,1958,7.6,998,5.3
1730186328,1958,7.6,998,5.3
1730186330,1958,7.6,998,5.3
1730186331,1958,7.6,1000,5.3
1730186335,1958,7.6,1000,5.3
1730186336,1958,7.6,1000,5.3
1730186338,1958,7.6,1000,5.3
1730186339,1958,7.6,1000,5.3
1730186340,1958,7.6,1001,5.3
1730186342,1958,7.6,1001,5.3
1730186343,1958,7.6,1001,5.3
1730186345,1958,7.6,1001,5.3
1730186346,1958,7.6,1001,5.3
1730186347,1958,7.6,1001,5.3
1730186348,1958,7.6,1001,5.3
1730186350,1958,7.6,1001,5.3
1730186351,1958,7.6,1001,5.3
1730186353,1958,7.6,1001,5.3
1730186354,1958,7.6,1001,5.3
1730186355,1958,7.6,1001,5.3
1730186357,1958,7.6,1001,5.3
1730186358,1958,7.6,1001,5.3
1730186359,1958,7.6,1001,5.3
1730186366,1958,7.6,1001,5.3
1730186367,1958,7.6,1001,5.3
1730186369,1958,7.6,1001,5.3
1730186370,1958,7.6,1001,5.3
1730186374,1958,7.6,1001,5.3
1730186375,1958,7.6,1001,5.3
1730186377,1958,7.6,1001,5.3
1730186378,1958,7.6,1001,5.3
1730186380,1958,7.6,1001,5.3
1730186381,1958,7.6,1001,5.3
1730186383,1958,7.6,1001,5.3
1730186384,1958,7.6,1001,5.3
1730186386,1958,7.6,1001,5.3
1730186387,1958,7.6,1001,5.3
1730186388,1958,7.6,1001,5.3
1730186390,1958,7.6,1001,5.3
1730186391,1958,7.6,1001,5.3
1730186392,1958,7.6,1001,5.3
1730186393,1958,7.6,1001,5.3
1730186395,1958,7.6,1001,5.3
1730186396,1958,7.6,1001,5.3
1730186397,1958,7.6,1001,5.3
1730186399,1958,7.6,1001,5.3
1730186401,1958,7.6,1001,5.3
1730186402,1958,7.6,1001,5.3
1730186404,1958,7.6,1001,5.3
1730186405,1958,7.6,1001,5.3
1730186407,1958,7.6,1001,5.3
1730186409,1958,7.6,1001,5.3
1730186410,1958,7.6,1001,5.3
1730186412,1958,7.6,1001,5.3
1730186413,1958,7.6,1001,5.3
1730186414,1958,7.6,1001,5.3
1730186416,1958,7.6,1001,5.3
1730186418,1958,7.6,1001,5.3
1730186419,1958,7.6,1001,5.3
1730186421,1958,7.6,1001,5.3
1730186423,1958,7.6,1001,5.3
1730186424,1958,7.6,1001,5.3
1730186425,1958,7.6,1001,5.3
1730186426,1958,7.6,1001,5.3
1730186428,1958,7.6,1001,5.3
1730186429,1958,7.6,1001,5.3
1730186431,1958,7.6,1001,5.3
1730186433,1958,7.6,1001,5.3
1730186434,1958,7.6,1001,5.3
1730186435,1958,7.6,1001,5.3
1730186437,1958,7.6,1001,5.3
1730186439,1958,7.6,1002,5.3
1730186440,1958,7.6,1002,5.3
1730186441,1958,7.6,1003,5.3
1730186443,1958,7.6,1003,5.3
