time,l_abs,l_per,b_abs,b_per
1724762936,22212,12.5504,9230,8.4700
1724762940,22218,12.5537,9233,8.4727
1724762943,22227,12.5588,9242,8.4810
1724762947,22246,12.5696,9279,8.5150
1724762951,22265,12.5803,9290,8.5250
1724762955,22269,12.5826,9292,8.5269
1724762963,22294,12.5967,9309,8.5425
1724762967,22294,12.5967,9311,8.5443
1724762977,22296,12.5978,9316,8.5489
1724762979,22312,12.6069,9329,8.5608
1724762980,22312,12.6069,9329,8.5608
1724762983,22312,12.6069,9329,8.5608
1724763008,22312,12.6069,9329,8.5608
1724763013,22312,12.6069,9329,8.5608
1724763031,22314,12.6080,9330,8.5618
1724763046,22314,12.6080,9330,8.5618
1724763055,22316,12.6091,9331,8.5627
1724763067,22316,12.6091,9331,8.5627
1724763073,22318,12.6103,9335,8.5663
1724763078,22318,12.6103,9336,8.5673
1724763085,22322,12.6125,9338,8.5691
1724763088,22354,12.6306,9355,8.5847
1724763091,22354,12.6306,9355,8.5847
1724763099,22354,12.6306,9355,8.5847
1724763101,22354,12.6306,9355,8.5847
1724763125,22365,12.6368,9363,8.5920
1724763134,22365,12.6368,9363,8.5920
1724763136,22365,12.6368,9363,8.5920
1724763152,22365,12.6368,9363,8.5920
1724763154,22365,12.6368,9363,8.5920
1724763167,22365,12.6368,9363,8.5920
1724763181,22365,12.6368,9363,8.5920
1724763195,22365,12.6368,9363,8.5920
1724763205,22365,12.6368,9363,8.5920
1724763212,22365,12.6368,9363,8.5920
1724763240,22365,12.6368,9363,8.5920
1724763257,22365,12.6368,9363,8.5920
1724763280,22365,12.6368,9363,8.5920
1724763284,22365,12.6368,9363,8.5920
1724763289,22365,12.6368,9363,8.5920
1724763297,22365,12.6368,9363,8.5920
1724763311,22365,12.6368,9363,8.5920
1724763315,22365,12.6368,9363,8.5920
1724763328,22367,12.6379,9364,8.5930
1724763332,22367,12.6379,9364,8.5930
1724763342,22368,12.6385,9365,8.5939
1724763346,22368,12.6385,9365,8.5939
1724763357,22369,12.6391,9366,8.5948
1724763362,22369,12.6391,9366,8.5948
1724763386,22371,12.6402,9367,8.5957
1724763389,22371,12.6402,9367,8.5957
1724763407,22371,12.6402,9367,8.5957
1724763412,22375,12.6425,9369,8.5975
1724763416,22379,12.6447,9371,8.5994
1724763419,22381,12.6458,9372,8.6003
1724763431,22381,12.6458,9372,8.6003
1724763440,22381,12.6458,9372,8.6003
1724763444,22381,12.6458,9372,8.6003
1724763452,22866,12.9199,9683,8.8857
1724763476,22866,12.9199,9683,8.8857
1724763491,22866,12.9199,9683,8.8857
1724763506,22866,12.9199,9683,8.8857
1724763518,22866,12.9199,9683,8.8857
1724763528,22866,12.9199,9683,8.8857
1724763531,22866,12.9199,9683,8.8857
1724763582,22866,12.9199,9683,8.8857
1724763606,22868,12.9210,9685,8.8875
1724763608,22868,12.9210,9685,8.8875
1724763613,22868,12.9210,9685,8.8875
1724763647,22868,12.9210,9685,8.8875
1724763665,22868,12.9210,9685,8.8875
1724763671,22870,12.9221,9686,8.8884
1724763678,22872,12.9233,9687,8.8894
1724763710,22872,12.9233,9687,8.8894
1724763736,22872,12.9233,9687,8.8894
1724763741,22872,12.9233,9687,8.8894
1724763753,22872,12.9233,9687,8.8894
1724763755,22877,12.9261,9690,8.8921
1724763782,22879,12.9272,9692,8.8939
1724763786,23360,13.1990,9843,9.0325
1724763833,23360,13.1990,9843,9.0325
1724763850,23363,13.2007,9846,9.0353
1724763858,23363,13.2007,9846,9.0353
1724763863,23363,13.2007,9846,9.0353
1724763885,23398,13.2205,9859,9.0472
1724763898,23398,13.2205,9859,9.0472
1724763919,23400,13.2216,9860,9.0481
1724763942,23400,13.2216,9860,9.0481
1724763953,23400,13.2216,9860,9.0481
1724763979,23412,13.2284,9869,9.0564
1724763982,23412,13.2284,9869,9.0564
1724763985,23412,13.2284,9869,9.0564
1724763996,23412,13.2284,9869,9.0564
1724764044,23412,13.2284,9869,9.0564
1724764058,23412,13.2284,9869,9.0564
1724764060,23412,13.2284,9869,9.0564
1724764073,23412,13.2284,9869,9.0564
1724764088,23412,13.2284,9869,9.0564
1724764091,23413,13.2290,9871,9.0582
1724764101,23416,13.2306,9873,9.0600
1724764139,23416,13.2306,9873,9.0600
1724764149,23416,13.2306,9874,9.0610
1724764161,23416,13.2306,9874,9.0610
1724764197,23421,13.2335,9889,9.0747
1724764249,23421,13.2335,9889,9.0747
1724764264,23421,13.2335,9889,9.0747
1724764277,23421,13.2335,9889,9.0747
1724764280,23421,13.2335,9889,9.0747
1724764290,23421,13.2335,9889,9.0747
1724764308,23424,13.2352,9891,9.0766
1724764317,23432,13.2397,9899,9.0839
1724764332,23432,13.2397,9899,9.0839
1724764342,23432,13.2397,9899,9.0839
1724764371,23432,13.2397,9899,9.0839
1724764396,23432,13.2397,9899,9.0839
1724764401,23432,13.2397,9899,9.0839
1724764411,23432,13.2397,9899,9.0839
1724764433,23432,13.2397,9899,9.0839
1724764442,23435,13.2414,9905,9.0894
1724764448,23435,13.2414,9905,9.0894
1724764472,23435,13.2414,9905,9.0894
1724764477,23435,13.2414,9905,9.0894
1724764538,23435,13.2414,9905,9.0894
1724764541,23435,13.2414,9905,9.0894
1724764592,23435,13.2414,9905,9.0894
1724764597,23435,13.2414,9905,9.0894
1724764660,23435,13.2414,9905,9.0894
1724764808,23435,13.2414,9905,9.0894
1724764825,23439,13.2436,9906,9.0903
1724764853,23439,13.2436,9906,9.0903
1724764882,23439,13.2436,9906,9.0903
1724764891,23441,13.2448,9907,9.0912
1724765090,23441,13.2448,9907,9.0912
1724765429,23457,13.2538,9918,9.1013
1724765484,23457,13.2538,9918,9.1013
1724765520,23457,13.2538,9918,9.1013
1724765534,23460,13.2555,9919,9.1023
1724765750,23460,13.2555,9921,9.1041
1724765765,23460,13.2555,9921,9.1041
1724765779,23460,13.2555,9921,9.1041
1724765785,23460,13.2555,9921,9.1041
1724765810,23464,13.2578,9923,9.1059
1724765885,23464,13.2578,9923,9.1059
1724765888,23464,13.2578,9923,9.1059
1724765900,23469,13.2606,9930,9.1123
1724765943,23469,13.2606,9930,9.1123
1724766038,23471,13.2617,9933,9.1151
1724766055,23472,13.2623,9935,9.1169
1724766213,23474,13.2634,9937,9.1188
1724766233,23474,13.2634,9937,9.1188
1724766305,23474,13.2634,9937,9.1188
