time,l_abs,l_per,b_abs,b_per
1725430851,5657,23.6043,3081,15.6587
1725430855,5662,23.6251,3091,15.7095
1725430856,5695,23.7628,3101,15.7603
1725430857,5695,23.7628,3101,15.7603
1725430858,5698,23.7753,3107,15.7908
1725430859,5700,23.7837,3110,15.8061
1725430860,5703,23.7962,3113,15.8213
1725430862,5703,23.7962,3114,15.8264
1725430864,5709,23.8212,3119,15.8518
1725430866,5709,23.8212,3119,15.8518
1725430868,5709,23.8212,3121,15.8620
1725430871,5710,23.8254,3124,15.8772
1725430873,5711,23.8296,3128,15.8975
1725430878,5711,23.8296,3128,15.8975
1725430880,5712,23.8338,3132,15.9179
1725430881,5712,23.8338,3132,15.9179
1725430883,5840,24.3679,3168,16.1008
1725430884,5841,24.3720,3169,16.1059
1725430887,5843,24.3804,3172,16.1212
1725430890,5843,24.3804,3172,16.1212
1725430891,5843,24.3804,3174,16.1313
1725430893,5843,24.3804,3174,16.1313
1725430895,5843,24.3804,3174,16.1313
1725430897,5843,24.3804,3174,16.1313
1725430899,5846,24.3929,3177,16.1466
1725430900,5847,24.3971,3179,16.1567
1725430901,5850,24.4096,3183,16.1771
1725430902,5850,24.4096,3183,16.1771
1725430904,5850,24.4096,3183,16.1771
1725430905,5852,24.4179,3185,16.1872
1725430907,5852,24.4179,3187,16.1974
1725430910,5853,24.4221,3189,16.2076
1725430912,5853,24.4221,3189,16.2076
1725430913,5853,24.4221,3192,16.2228
1725430914,5853,24.4221,3192,16.2228
1725430916,5861,24.4555,3194,16.2330
1725430921,5861,24.4555,3194,16.2330
1725430922,5861,24.4555,3195,16.2381
1725430927,5861,24.4555,3195,16.2381
1725430928,5861,24.4555,3195,16.2381
1725430931,5863,24.4638,3200,16.2635
1725430933,5903,24.6307,3212,16.3245
1725430934,5903,24.6307,3212,16.3245
1725430938,5903,24.6307,3212,16.3245
1725430940,5903,24.6307,3213,16.3295
1725430948,5903,24.6307,3213,16.3295
1725430949,5903,24.6307,3214,16.3346
1725430950,5903,24.6307,3214,16.3346
1725430952,5915,24.6808,3225,16.3905
1725430955,5915,24.6808,3225,16.3905
1725430959,5933,24.7559,3241,16.4718
1725430966,5933,24.7559,3241,16.4718
1725430971,6192,25.8366,3390,17.2291
1725430973,6192,25.8366,3390,17.2291
1725430975,6192,25.8366,3391,17.2342
1725430977,6192,25.8366,3391,17.2342
1725430980,6192,25.8366,3391,17.2342
1725430984,6192,25.8366,3391,17.2342
1725430987,6192,25.8366,3391,17.2342
1725430988,6192,25.8366,3393,17.2444
1725430990,6319,26.3665,3468,17.6255
1725430993,6319,26.3665,3468,17.6255
1725430995,6319,26.3665,3468,17.6255
1725430997,6319,26.3665,3468,17.6255
1725430998,6319,26.3665,3469,17.6306
1725431001,6319,26.3665,3469,17.6306
1725431004,6319,26.3665,3469,17.6306
1725431007,6319,26.3665,3470,17.6357
1725431011,6319,26.3665,3470,17.6357
1725431014,6319,26.3665,3471,17.6408
1725431021,6320,26.3707,3472,17.6459
1725431024,6320,26.3707,3472,17.6459
1725431025,6320,26.3707,3472,17.6459
1725431036,6322,26.3790,3475,17.6611
1725431038,6322,26.3790,3475,17.6611
1725431049,6322,26.3790,3475,17.6611
1725431050,6323,26.3832,3478,17.6764
1725431064,6325,26.3916,3480,17.6865
1725431066,6325,26.3916,3480,17.6865
1725431069,6325,26.3916,3480,17.6865
1725431071,6325,26.3916,3480,17.6865
1725431075,6325,26.3916,3480,17.6865
1725431079,6325,26.3916,3480,17.6865
1725431088,6325,26.3916,3480,17.6865
1725431095,6325,26.3916,3481,17.6916
1725431097,6328,26.4041,3483,17.7018
1725431098,6328,26.4041,3483,17.7018
1725431103,6328,26.4041,3483,17.7018
1725431118,6328,26.4041,3483,17.7018
1725431136,6328,26.4041,3483,17.7018
1725431147,6328,26.4041,3484,17.7069
1725431152,6333,26.4249,3489,17.7323
1725431155,6334,26.4291,3495,17.7628
1725431165,6334,26.4291,3495,17.7628
1725431178,6334,26.4291,3495,17.7628
1725431185,6334,26.4291,3495,17.7628
1725431195,6334,26.4291,3495,17.7628
1725431209,6334,26.4291,3497,17.7729
1725431211,6351,26.5000,3503,17.8034
1725431214,6351,26.5000,3503,17.8034
1725431219,6351,26.5000,3503,17.8034
1725431222,6356,26.5209,3508,17.8288
1725431231,6356,26.5209,3510,17.8390
1725431240,6356,26.5209,3510,17.8390
1725431246,6356,26.5209,3510,17.8390
1725431252,6356,26.5209,3511,17.8441
1725431255,6356,26.5209,3511,17.8441
1725431262,6356,26.5209,3511,17.8441
1725431269,6356,26.5209,3511,17.8441
1725431273,6356,26.5209,3511,17.8441
1725431276,6358,26.5292,3513,17.8542
1725431291,6361,26.5418,3516,17.8695
1725431302,6386,26.6461,3524,17.9101
1725431307,6386,26.6461,3524,17.9101
1725431310,6386,26.6461,3525,17.9152
1725431312,6386,26.6461,3525,17.9152
1725431335,6394,26.6795,3531,17.9457
1725431429,6394,26.6795,3531,17.9457
1725431560,6394,26.6795,3531,17.9457
1725431573,6395,26.6836,3534,17.9610
1725431587,6395,26.6836,3534,17.9610
1725431594,6395,26.6836,3534,17.9610
1725431616,6395,26.6836,3534,17.9610
1725431777,6399,26.7003,3536,17.9711
1725431782,6399,26.7003,3536,17.9711
1725431809,6399,26.7003,3536,17.9711
1725431938,6399,26.7003,3536,17.9711
1725431941,6399,26.7003,3536,17.9711
1725431946,6399,26.7003,3536,17.9711
1725431956,6399,26.7003,3536,17.9711
1725431959,6399,26.7003,3536,17.9711
1725431974,6399,26.7003,3536,17.9711
1725432021,6399,26.7003,3536,17.9711
1725432030,6399,26.7003,3536,17.9711
1725432069,6399,26.7003,3536,17.9711
1725432134,6399,26.7003,3536,17.9711
1725432317,6399,26.7003,3536,17.9711
1725432324,6410,26.7462,3542,18.0016
1725432350,6412,26.7546,3545,18.0169
1725432357,6412,26.7546,3545,18.0169
1725432382,6412,26.7546,3545,18.0169
1725432392,6412,26.7546,3545,18.0169
1725432396,6412,26.7546,3545,18.0169
1725432410,6435,26.8505,3558,18.0829
1725432414,6435,26.8505,3558,18.0829
1725432418,6435,26.8505,3558,18.0829
1725432428,6435,26.8505,3558,18.0829
1725432435,6435,26.8505,3558,18.0829
1725432438,6435,26.8505,3558,18.0829
1725432448,6435,26.8505,3558,18.0829
1725432458,6449,26.9090,3559,18.0880
1725432478,6449,26.9090,3559,18.0880
1725432481,6449,26.9090,3559,18.0880
1725432495,6449,26.9090,3559,18.0880
1725432522,6449,26.9090,3559,18.0880
1725432564,6449,26.9090,3559,18.0880
1725432581,6449,26.9090,3559,18.0880
1725432586,6449,26.9090,3559,18.0880
1725432602,6449,26.9090,3559,18.0880
1725432613,6449,26.9090,3559,18.0880
1725432617,6449,26.9090,3559,18.0880
1725432635,6453,26.9256,3562,18.1033
1725432638,6453,26.9256,3562,18.1033
1725432670,6459,26.9507,3567,18.1287
1725432767,6474,27.0133,3573,18.1592
1725432774,6487,27.0675,3580,18.1948
1725432787,6487,27.0675,3580,18.1948
1725432815,6487,27.0675,3580,18.1948
1725432823,6487,27.0675,3580,18.1948
1725432829,6487,27.0675,3580,18.1948
1725432859,6487,27.0675,3580,18.1948
1725432940,6489,27.0759,3582,18.2049
1725432975,6490,27.0800,3583,18.2100
1725433000,6490,27.0800,3583,18.2100
1725433013,6490,27.0800,3583,18.2100
1725433025,6492,27.0884,3585,18.2202
1725433031,6494,27.0967,3587,18.2303
1725433033,6504,27.1384,3596,18.2761
1725433045,6511,27.1677,3604,18.3167
1725433047,6513,27.1760,3606,18.3269
1725433092,6513,27.1760,3606,18.3269
1725433115,6513,27.1760,3606,18.3269
1725433178,6513,27.1760,3606,18.3269
1725433259,6517,27.1927,3607,18.3320
1725433328,6517,27.1927,3607,18.3320
1725433346,6517,27.1927,3607,18.3320
1725433360,6517,27.1927,3607,18.3320
1725433418,6517,27.1927,3607,18.3320
1725433452,6518,27.1969,3608,18.3371
1725433465,6521,27.2094,3611,18.3523
1725433479,6521,27.2094,3615,18.3726
1725433531,6521,27.2094,3615,18.3726
1725433555,6521,27.2094,3615,18.3726
1725433559,6521,27.2094,3617,18.3828
1725433579,6521,27.2094,3617,18.3828
1725433625,6521,27.2094,3617,18.3828
1725433628,6521,27.2094,3617,18.3828
1725433655,6525,27.2261,3621,18.4031
1725433676,6525,27.2261,3621,18.4031
1725433704,6525,27.2261,3621,18.4031
1725433779,6525,27.2261,3621,18.4031
1725433863,6540,27.2887,3625,18.4235
1725433886,6540,27.2887,3625,18.4235
1725433924,6540,27.2887,3625,18.4235
1725433970,6540,27.2887,3625,18.4235
1725434065,6540,27.2887,3625,18.4235
1725434080,6543,27.3012,3628,18.4387
1725434200,6543,27.3012,3628,18.4387
1725434238,6543,27.3012,3628,18.4387
1725434375,6543,27.3012,3628,18.4387
1725434416,6543,27.3012,3628,18.4387
1725434448,6543,27.3012,3628,18.4387
1725434472,6545,27.3095,3629,18.4438
1725434484,6545,27.3095,3629,18.4438
1725434549,6545,27.3095,3629,18.4438
1725434687,6545,27.3095,3629,18.4438
1725434697,6545,27.3095,3629,18.4438
1725434710,6545,27.3095,3629,18.4438
1725434772,6545,27.3095,3629,18.4438
1725434826,6545,27.3095,3629,18.4438
1725434856,6545,27.3095,3629,18.4438
1725434876,6556,27.3554,3637,18.4844
1725434996,6556,27.3554,3637,18.4844
1725435046,6571,27.4180,3641,18.5048
1725435074,6571,27.4180,3641,18.5048
1725435081,6571,27.4180,3641,18.5048
1725435174,6573,27.4264,3643,18.5149
1725435359,6573,27.4264,3643,18.5149
1725435421,6573,27.4264,3643,18.5149
1725435489,6573,27.4264,3643,18.5149
1725435530,6573,27.4264,3644,18.5200
