time,l_abs,l_per,b_abs,b_per
1726048301,7825,9.4603,3279,5.6211
1726048320,7825,9.4603,3279,5.6211
1726048324,7897,9.5474,3331,5.7102
1726048361,7897,9.5474,3331,5.7102
1726048371,7928,9.5848,3346,5.7359
1726048380,7928,9.5848,3346,5.7359
1726048604,7929,9.5860,3348,5.7394
1726048610,8443,10.2075,3593,6.1594
1726048619,8443,10.2075,3594,6.1611
1726048648,8443,10.2075,3594,6.1611
1726048671,8444,10.2087,3597,6.1662
1726048692,8444,10.2087,3597,6.1662
1726048754,8444,10.2087,3597,6.1662
1726048759,8444,10.2087,3598,6.1679
1726048777,8453,10.2196,3603,6.1765
1726048781,8457,10.2244,3609,6.1868
1726048789,8457,10.2244,3609,6.1868
1726048939,8457,10.2244,3609,6.1868
1726048977,8475,10.2461,3621,6.2074
1726048986,8475,10.2461,3621,6.2074
1726049221,8475,10.2461,3622,6.2091
1726049225,8477,10.2486,3626,6.2159
1726049239,8477,10.2486,3627,6.2176
1726049405,8481,10.2534,3633,6.2279
1726049558,8489,10.2631,3637,6.2348
1726049562,8489,10.2631,3637,6.2348
1726049747,8490,10.2643,3638,6.2365
1726049755,8490,10.2643,3638,6.2365
1726049835,8492,10.2667,3640,6.2399
1726049840,8500,10.2764,3644,6.2468
1726050020,8501,10.2776,3645,6.2485
1726050064,8501,10.2776,3645,6.2485
1726050069,8501,10.2776,3645,6.2485
1726050226,8503,10.2800,3650,6.2571
1726050234,8511,10.2897,3656,6.2674
1726050266,8525,10.3066,3671,6.2931
1726050607,8525,10.3066,3671,6.2931
1726050742,8525,10.3066,3673,6.2965
1726051061,8525,10.3066,3673,6.2965
1726051097,8525,10.3066,3673,6.2965
1726051675,8525,10.3066,3673,6.2965
1726051679,8535,10.3187,3685,6.3171
1726051865,8626,10.4287,3736,6.4045
1726052179,8626,10.4287,3736,6.4045
1726052381,8777,10.6113,3806,6.5245
1726052407,8777,10.6113,3806,6.5245
1726052415,8785,10.6209,3811,6.5331
1726052576,8785,10.6209,3811,6.5331
1726052669,8785,10.6209,3811,6.5331
1726052760,8790,10.6270,3817,6.5434
1726052999,8791,10.6282,3819,6.5468
1726054160,8791,10.6282,3819,6.5468
1726054257,8791,10.6282,3819,6.5468
1726054451,8792,10.6294,3828,6.5622
1726054455,8792,10.6294,3828,6.5622
1726054587,8922,10.7866,3861,6.6188
1726054828,8922,10.7866,3861,6.6188
1726054992,8922,10.7866,3861,6.6188
1726055320,8926,10.7914,3865,6.6256
1726055356,8927,10.7926,3866,6.6274
1726055379,8927,10.7926,3866,6.6274
1726055588,8927,10.7926,3866,6.6274
1726055724,8927,10.7926,3866,6.6274
1726055792,9013,10.8966,3895,6.6771
1726055873,9013,10.8966,3895,6.6771
1726056135,9021,10.9063,3899,6.6839
1726056622,9025,10.9111,3900,6.6856
1726057243,9025,10.9111,3902,6.6891
1726057554,9091,10.9909,3929,6.7354
1726057751,9091,10.9909,3929,6.7354
1726057788,9171,11.0876,3970,6.8056
1726058239,9171,11.0876,3970,6.8056
1726058244,9171,11.0876,3972,6.8091
1726058595,9173,11.0900,3975,6.8142
1726058629,9173,11.0900,3976,6.8159
1726058650,9173,11.0900,3976,6.8159
1726058831,9173,11.0900,3976,6.8159
1726058938,9174,11.0912,3977,6.8176
1726059183,9174,11.0912,3980,6.8228
1726059779,9174,11.0912,3980,6.8228
1726059976,9180,11.0985,3986,6.8331
1726060031,9180,11.0985,3986,6.8331
1726060117,9180,11.0985,3986,6.8331
1726060692,9180,11.0985,3987,6.8348
1726061062,9180,11.0985,3987,6.8348
1726061067,9190,11.1106,3989,6.8382
1726061137,9190,11.1106,3990,6.8399
1726061321,9190,11.1106,3990,6.8399
1726062119,9190,11.1106,3990,6.8399
1726062914,9190,11.1106,3990,6.8399
1726063370,9190,11.1106,3990,6.8399
1726063527,9190,11.1106,3990,6.8399
1726064382,9190,11.1106,3990,6.8399
1726064988,9197,11.1190,3993,6.8451
1726065141,9205,11.1287,4000,6.8571
1726065618,9205,11.1287,4000,6.8571
1726065723,9205,11.1287,4000,6.8571
1726065764,9205,11.1287,4000,6.8571
1726066022,9205,11.1287,4000,6.8571
1726066233,9205,11.1287,4000,6.8571
1726066475,9205,11.1287,4000,6.8571
1726066819,9205,11.1287,4000,6.8571
1726067014,9205,11.1287,4000,6.8571
1726067498,9223,11.1505,4007,6.8691
1726067602,9223,11.1505,4007,6.8691
1726067611,9223,11.1505,4007,6.8691
1726068765,9223,11.1505,4007,6.8691
1726068796,9223,11.1505,4007,6.8691
1726068905,9224,11.1517,4011,6.8759
1726068976,9224,11.1517,4011,6.8759
1726069402,9226,11.1541,4014,6.8811
1726069819,9226,11.1541,4014,6.8811
1726071474,9228,11.1565,4018,6.8879
1726072682,9228,11.1565,4018,6.8879
1726073719,9332,11.2822,4069,6.9753
1726073722,9332,11.2822,4069,6.9753
1726073726,9776,11.8190,4313,7.3936
1726073730,9851,11.9097,4350,7.4571
1726073737,9851,11.9097,4350,7.4571
1726074241,9851,11.9097,4350,7.4571
1726074245,9851,11.9097,4350,7.4571
1726074249,9851,11.9097,4350,7.4571
1726074255,9863,11.9242,4352,7.4605
1726074275,9863,11.9242,4352,7.4605
1726074287,9863,11.9242,4352,7.4605
1726074301,9863,11.9242,4352,7.4605
1726074305,9875,11.9387,4361,7.4759
1726074309,9875,11.9387,4361,7.4759
1726074315,9875,11.9387,4361,7.4759
1726074319,9875,11.9387,4361,7.4759
1726074324,9875,11.9387,4361,7.4759
1726074328,9875,11.9387,4361,7.4759
