time,l_per,l_abs,b_per,b_abs
1725022456,23685,13.3826,9905,9.0894
1725022498,23685,13.3826,9905,9.0894
1725022506,23823,13.4606,9989,9.1665
1725022521,23823,13.4606,9989,9.1665
1725022572,23823,13.4606,9989,9.1665
1725022635,25027,14.1409,10721,9.8382
1725022646,25461,14.3861,10855,9.9612
1725022661,25483,14.3986,10877,9.9814
1725022843,25483,14.3986,10877,9.9814
1725022926,25483,14.3986,10877,9.9814
1725022958,25483,14.3986,10877,9.9814
1725022965,25500,14.4082,10891,9.9942
1725023032,25500,14.4082,10891,9.9942
1725023294,25511,14.4144,10899,10.0016
1725023379,25546,14.4342,10934,10.0337
1725023512,25546,14.4342,10934,10.0337
1725023592,25546,14.4342,10934,10.0337
1725024029,25548,14.4353,10936,10.0355
1725024366,25548,14.4353,10936,10.0355
1725024682,25548,14.4353,10936,10.0355
1725024816,25548,14.4353,10936,10.0355
1725024892,25548,14.4353,10936,10.0355
1725025006,25548,14.4353,10936,10.0355
1725025230,25548,14.4353,10936,10.0355
1725025311,25548,14.4353,10936,10.0355
1725025527,25548,14.4353,10936,10.0355
1725025879,25548,14.4353,10936,10.0355
1725026551,25548,14.4353,10936,10.0355
1725026689,25548,14.4353,10936,10.0355
1725026831,25552,14.4375,10937,10.0364
1725026927,25552,14.4375,10937,10.0364
1725027448,25552,14.4375,10937,10.0364
1725027537,25552,14.4375,10937,10.0364
1725028935,25553,14.4381,10938,10.0373
1725029367,25553,14.4381,10938,10.0373
1725029716,25553,14.4381,10938,10.0373
1725030235,25553,14.4381,10938,10.0373
1725030409,25553,14.4381,10938,10.0373
1725030423,25553,14.4381,10938,10.0373
1725030571,25553,14.4381,10938,10.0373
1725030713,25553,14.4381,10938,10.0373
1725030915,25553,14.4381,10938,10.0373
1725030967,25553,14.4381,10938,10.0373
1725031010,25558,14.4409,10942,10.0410
1725031080,25563,14.4438,10950,10.0484
1725031092,25570,14.4477,10957,10.0548
1725031647,25573,14.4494,10960,10.0575
1725031672,25577,14.4517,10962,10.0594
1725031826,25577,14.4517,10962,10.0594
1725031834,25577,14.4517,10962,10.0594
1725031867,25577,14.4517,10962,10.0594
1725032267,27922,15.7767,12133,11.1340
1725032443,27922,15.7767,12133,11.1340
1725032698,27922,15.7767,12133,11.1340
1725033191,27922,15.7767,12133,11.1340
1725033258,27922,15.7767,12133,11.1340
1725033721,27922,15.7767,12133,11.1340
1725033757,27922,15.7767,12133,11.1340
1725034007,27922,15.7767,12133,11.1340
1725034018,27922,15.7767,12133,11.1340
1725035608,27922,15.7767,12133,11.1340
1725035669,27923,15.7772,12134,11.1349
1725036051,27923,15.7772,12134,11.1349
1725037336,27923,15.7772,12134,11.1349
1725037418,27923,15.7772,12134,11.1349
1725037626,27923,15.7772,12134,11.1349
1725037639,27923,15.7772,12134,11.1349
1725037652,27923,15.7772,12134,11.1349
1725037660,27926,15.7789,12135,11.1358
1725037742,27926,15.7789,12135,11.1358
1725038004,27926,15.7789,12135,11.1358
1725038058,27926,15.7789,12135,11.1358
1725038526,27926,15.7789,12135,11.1358
1725038807,27926,15.7789,12135,11.1358
1725039126,27926,15.7789,12135,11.1358
1725039229,27926,15.7789,12135,11.1358
1725039250,27926,15.7789,12135,11.1358
1725039445,27926,15.7789,12135,11.1358
1725039573,27926,15.7789,12135,11.1358
1725040026,27926,15.7789,12135,11.1358
1725040052,27946,15.7902,12146,11.1459
1725040479,27973,15.8055,12151,11.1505
1725040758,27973,15.8055,12151,11.1505
1725041054,27973,15.8055,12151,11.1505
1725041152,27973,15.8055,12151,11.1505
1725041326,27981,15.8100,12159,11.1578
1725041939,27983,15.8111,12160,11.1587
1725042091,27983,15.8111,12160,11.1587
1725042494,27983,15.8111,12160,11.1587
1725042590,27983,15.8111,12160,11.1587
1725042985,27983,15.8111,12160,11.1587
1725043937,27983,15.8111,12160,11.1587
1725044316,27983,15.8111,12160,11.1587
1725044602,27984,15.8117,12161,11.1596
1725044888,27984,15.8117,12161,11.1596
1725045146,27984,15.8117,12161,11.1596
1725045288,27984,15.8117,12161,11.1596
1725045313,27984,15.8117,12161,11.1596
1725045432,27984,15.8117,12161,11.1596
1725045594,27984,15.8117,12161,11.1596
1725046065,27984,15.8117,12161,11.1596
1725046072,27984,15.8117,12161,11.1596
1725046091,27984,15.8117,12161,11.1596
1725046135,27984,15.8117,12161,11.1596
1725046150,27984,15.8117,12161,11.1596
1725046159,27984,15.8117,12161,11.1596
1725046763,27984,15.8117,12161,11.1596
1725047037,27984,15.8117,12161,11.1596
1725048006,27984,15.8117,12161,11.1596
1725048038,27984,15.8117,12161,11.1596
1725048148,27984,15.8117,12161,11.1596
1725048563,27984,15.8117,12161,11.1596
1725048798,27984,15.8117,12161,11.1596
1725048808,27984,15.8117,12161,11.1596
1725048999,27984,15.8117,12161,11.1596
1725049239,27984,15.8117,12161,11.1596
1725049584,27984,15.8117,12161,11.1596
1725050127,28038,15.8422,12197,11.1927
1725050338,28038,15.8422,12197,11.1927
1725050355,28038,15.8422,12197,11.1927
1725050368,28038,15.8422,12197,11.1927
1725050439,28038,15.8422,12197,11.1927
1725050473,28038,15.8422,12197,11.1927
1725050790,28038,15.8422,12197,11.1927
1725050862,28038,15.8422,12197,11.1927
