time,l_per,l_abs,b_per,b_abs
1725605571,7615,31.7742,4011,20.3852
1725605582,7615,31.7742,4011,20.3852
1725605657,7615,31.7742,4011,20.3852
1725605664,7615,31.7742,4011,20.3852
1725605744,7624,31.8117,4024,20.4513
1725605811,7624,31.8117,4024,20.4513
1725605821,7643,31.8910,4030,20.4818
1725605953,7643,31.8910,4030,20.4818
1725606097,7643,31.8910,4030,20.4818
1725606267,7643,31.8910,4030,20.4818
1725606461,7643,31.8910,4034,20.5021
1725607191,7643,31.8910,4035,20.5072
1725607196,7649,31.9160,4043,20.5479
1725607239,7649,31.9160,4043,20.5479
1725607630,7649,31.9160,4043,20.5479
1725607831,7690,32.0871,4065,20.6597
1725609712,7698,32.1205,4072,20.6953
1725610405,7742,32.3041,4106,20.8681
1725610782,7742,32.3041,4106,20.8681
1725611314,7742,32.3041,4107,20.8731
1725612241,7750,32.3375,4110,20.8884
1725613110,7774,32.4376,4135,21.0155
1725613120,7793,32.5169,4141,21.0459
1725613422,7793,32.5169,4141,21.0459
1725614037,7793,32.5169,4141,21.0459
1725614232,7851,32.7589,4170,21.1933
1725616275,7851,32.7589,4170,21.1933
1725616470,7851,32.7589,4170,21.1933
1725616595,7851,32.7589,4170,21.1933
1725616660,7855,32.7756,4172,21.2035
1725616664,7855,32.7756,4172,21.2035
1725616732,7855,32.7756,4172,21.2035
1725616869,7976,33.2805,4192,21.3051
1725617088,7976,33.2805,4192,21.3051
1725617422,7976,33.2805,4192,21.3051
1725617682,7976,33.2805,4192,21.3051
1725617754,7976,33.2805,4192,21.3051
1725618401,7977,33.2847,4193,21.3102
1725619030,7977,33.2847,4193,21.3102
1725619173,7978,33.2888,4195,21.3204
1725619675,7978,33.2888,4197,21.3306
1725620369,7978,33.2888,4197,21.3306
1725620399,7978,33.2888,4197,21.3306
1725620496,7980,33.2972,4202,21.3560
1725621334,7980,33.2972,4202,21.3560
1725621338,7980,33.2972,4202,21.3560
1725622680,7980,33.2972,4202,21.3560
1725622703,7980,33.2972,4202,21.3560
1725623267,7980,33.2972,4202,21.3560
1725623797,7980,33.2972,4202,21.3560
1725623818,8013,33.4349,4219,21.4424
1725623938,8013,33.4349,4219,21.4424
1725624014,8013,33.4349,4221,21.4525
1725624233,8013,33.4349,4221,21.4525
1725624254,8013,33.4349,4221,21.4525
1725625366,8013,33.4349,4221,21.4525
1725626926,8013,33.4349,4221,21.4525
1725627599,8013,33.4349,4221,21.4525
1725627916,8013,33.4349,4221,21.4525
1725628540,8013,33.4349,4221,21.4525
1725628582,8013,33.4349,4221,21.4525
1725628840,8013,33.4349,4222,21.4576
1725629130,8013,33.4349,4222,21.4576
1725630080,8017,33.4516,4223,21.4627
1725630205,8017,33.4516,4223,21.4627
1725630270,8018,33.4557,4229,21.4932
1725630316,8018,33.4557,4229,21.4932
1725631530,8018,33.4557,4229,21.4932
1725631593,8018,33.4557,4229,21.4932
1725631668,8018,33.4557,4229,21.4932
1725631972,8018,33.4557,4229,21.4932
1725632737,8018,33.4557,4229,21.4932
1725632748,8018,33.4557,4229,21.4932
1725633318,8018,33.4557,4229,21.4932
1725634087,8018,33.4557,4229,21.4932
1725634794,8018,33.4557,4229,21.4932
1725635369,8018,33.4557,4229,21.4932
1725635619,8018,33.4557,4229,21.4932
1725635890,8018,33.4557,4229,21.4932
1725638570,8018,33.4557,4229,21.4932
1725638730,8018,33.4557,4229,21.4932
1725640039,8018,33.4557,4229,21.4932
1725640307,8018,33.4557,4229,21.4932
1725642805,8018,33.4557,4229,21.4932
1725643637,8018,33.4557,4229,21.4932
1725643955,8018,33.4557,4229,21.4932
1725644002,8018,33.4557,4229,21.4932
1725644598,8018,33.4557,4229,21.4932
1725644763,8018,33.4557,4229,21.4932
1725646187,8018,33.4557,4229,21.4932
1725646306,8018,33.4557,4229,21.4932
1725649060,8018,33.4557,4229,21.4932
1725649096,8018,33.4557,4229,21.4932
1725649524,8018,33.4557,4229,21.4932
1725649884,8018,33.4557,4229,21.4932
1725651336,8018,33.4557,4229,21.4932
1725651340,8018,33.4557,4229,21.4932
1725651344,8018,33.4557,4229,21.4932
