time,l_abs,l_per,b_abs,b_per
1731577822,20464,11.6,8932,8.2
1731578680,21422,12.1,9155,8.4
1731579951,23840,13.5,10142,9.3
1731581213,24457,13.8,10346,9.5
1731582288,24626,13.9,10447,9.6
1731583443,24633,13.9,10454,9.6
1731552297,26213,14.8,11176,10.2
1731586048,26214,14.8,11179,10.2
1731587773,26242,14.8,11216,10.3
1731590037,26242,14.8,11217,10.3
1731592394,26255,14.8,11226,10.3
1731592746,26300,14.9,11244,10.3
1731595239,26319,14.9,11253,10.3
1731596092,26337,14.9,11270,10.3
1731597819,26404,14.9,11313,10.4
1731600458,26421,14.9,11327,10.4
1731552309,26465,15.0,11350,10.4
1731604842,26471,15.0,11357,10.4
1731607519,26634,15.0,11405,10.5
1731610088,26675,15.1,11449,10.5
1731613926,26681,15.1,11452,10.5
1731616999,26710,15.1,11468,10.5
1731618000,26808,15.1,11507,10.5
1731618538,26817,15.2,11513,10.6
1731619415,26859,15.2,11542,10.6
1731620278,26859,15.2,11545,10.6
1731552321,26864,15.2,11550,10.6
1731623883,26872,15.2,11555,10.6
1731625884,26873,15.2,11557,10.6
1731626990,26873,15.2,11560,10.6
1731627657,26888,15.2,11575,10.6
1731629671,26890,15.2,11576,10.6
1731631621,26893,15.2,11578,10.6
1731633375,26899,15.2,11589,10.6
1731635110,26899,15.2,11591,10.6
1731637205,26899,15.2,11591,10.6
1731552341,26899,15.2,11591,10.6
1731552348,26903,15.2,11594,10.6
1731552366,26903,15.2,11595,10.6
1731552177,26903,15.2,11596,10.6
1731552413,26903,15.2,11597,10.6
1731552435,26903,15.2,11597,10.6
1731552463,26905,15.2,11598,10.6
1731552493,27373,15.5,11739,10.8
1731552530,27373,15.5,11739,10.8
1731552560,27377,15.5,11742,10.8
1731552574,27378,15.5,11743,10.8
1731552592,27378,15.5,11743,10.8
1731552608,27380,15.5,11747,10.8
1731552186,27380,15.5,11747,10.8
1731552627,27384,15.5,11750,10.8
1731552637,27386,15.5,11752,10.8
1731552643,27391,15.5,11754,10.8
1731552656,27391,15.5,11754,10.8
1731552667,27391,15.5,11754,10.8
1731552681,27391,15.5,11754,10.8
1731552693,27391,15.5,11754,10.8
1731552702,27391,15.5,11754,10.8
1731552712,27392,15.5,11755,10.8
1731552200,27395,15.5,11758,10.8
1731552735,27395,15.5,11758,10.8
1731552751,27395,15.5,11758,10.8
1731552782,27395,15.5,11758,10.8
1731552805,27396,15.5,11759,10.8
1731552821,27396,15.5,11759,10.8
1731552856,27396,15.5,11759,10.8
1731552871,27396,15.5,11759,10.8
1731552898,27398,15.5,11760,10.8
1731552919,27398,15.5,11760,10.8
1731552210,27398,15.5,11762,10.8
1731552984,27398,15.5,11762,10.8
1731553035,27398,15.5,11762,10.8
1731553099,27404,15.5,11765,10.8
1731553135,27404,15.5,11766,10.8
1731553181,27414,15.5,11771,10.8
1731553259,27414,15.5,11771,10.8
1731553331,27417,15.5,11773,10.8
1731553397,27417,15.5,11773,10.8
1731553554,27423,15.5,11775,10.8
1731552221,27425,15.5,11776,10.8
1731553719,27425,15.5,11776,10.8
1731553817,27428,15.5,11778,10.8
1731553850,27430,15.5,11779,10.8
1731553953,27430,15.5,11779,10.8
1731554068,27430,15.5,11779,10.8
1731554164,27434,15.5,11781,10.8
1731554325,27434,15.5,11781,10.8
1731554459,27434,15.5,11781,10.8
1731554524,27438,15.5,11784,10.8
1731552230,27438,15.5,11784,10.8
1731554776,27441,15.5,11789,10.8
1731554871,27444,15.5,11791,10.8
1731555024,27446,15.5,11792,10.8
1731555216,27452,15.5,11795,10.8
1731555339,27452,15.5,11795,10.8
1731555619,27458,15.5,11797,10.8
1731555846,27458,15.5,11798,10.8
1731556140,27460,15.5,11799,10.8
1731556454,27460,15.5,11799,10.8
1731552237,27467,15.5,11803,10.8
1731556880,27467,15.5,11804,10.8
1731557151,27467,15.5,11804,10.8
1731557422,27469,15.5,11805,10.8
1731557788,27469,15.5,11805,10.8
1731557968,27471,15.5,11807,10.8
1731558381,27475,15.5,11809,10.8
1731558677,27475,15.5,11809,10.8
1731558783,27475,15.5,11809,10.8
1731559174,27475,15.5,11810,10.8
1731559621,27475,15.5,11810,10.8
1731552155,27475,15.5,11810,10.8
1731560504,27477,15.5,11813,10.8
1731560946,27477,15.5,11813,10.8
1731561128,27477,15.5,11813,10.8
1731561723,27479,15.5,11816,10.8
1731562362,27479,15.5,11817,10.8
1731562974,27479,15.5,11817,10.8
1731563665,27486,15.5,11821,10.8
1731564710,27493,15.5,11824,10.8
1731565500,27493,15.5,11825,10.8
1731552272,27493,15.5,11826,10.8
1731567001,27497,15.5,11827,10.8
1731567424,27502,15.5,11832,10.8
1731568084,27502,15.5,11832,10.8
1731569007,27522,15.6,11846,10.9
1731570010,27522,15.6,11846,10.9
1731570626,27522,15.6,11847,10.9
1731571628,27522,15.6,11847,10.9
1731572173,27524,15.6,11849,10.9
1731573744,27524,15.6,11853,10.9
1731552287,27524,15.6,11854,10.9
1731575722,27524,15.6,11855,10.9
1731577273,27526,15.6,11856,10.9
1731577307,27526,15.6,11856,10.9
