time,l_abs,l_per,b_abs,b_per
1730186224,1681,6.5,778,4.1
1730186225,1685,6.6,779,4.1
1730186226,1705,6.6,790,4.2
1730186227,1715,6.7,792,4.2
1730186229,1731,6.7,799,4.3
1730186234,1741,6.8,801,4.3
1730186236,1741,6.8,801,4.3
1730186242,1882,7.3,908,4.8
1730186243,1882,7.3,909,4.8
1730186244,1883,7.3,912,4.9
1730186245,1883,7.3,912,4.9
1730186247,1883,7.3,912,4.9
1730186248,1883,7.3,912,4.9
1730186250,1894,7.4,922,4.9
1730186251,1894,7.4,922,4.9
1730186252,1914,7.5,937,5.0
1730186253,1914,7.5,939,5.0
1730186255,1944,7.6,961,5.1
1730186256,1944,7.6,961,5.1
1730186262,1944,7.6,963,5.1
1730186264,1944,7.6,963,5.1
1730186265,1944,7.6,963,5.1
1730186267,1944,7.6,963,5.1
1730186268,1944,7.6,964,5.1
1730186269,1944,7.6,967,5.1
1730186271,1944,7.6,967,5.1
1730186273,1944,7.6,970,5.2
1730186275,1944,7.6,970,5.2
1730186276,1944,7.6,970,5.2
1730186277,1944,7.6,970,5.2
1730186279,1944,7.6,970,5.2
1730186281,1944,7.6,970,5.2
1730186283,1944,7.6,970,5.2
1730186284,1944,7.6,970,5.2
1730186286,1944,7.6,970,5.2
1730186291,1944,7.6,971,5.2
1730186293,1944,7.6,971,5.2
1730186294,1944,7.6,971,5.2
1730186296,1944,7.6,973,5.2
1730186298,1944,7.6,973,5.2
1730186299,1944,7.6,974,5.2
1730186301,1944,7.6,974,5.2
1730186303,1944,7.6,974,5.2
1730186305,1944,7.6,974,5.2
1730186307,1944,7.6,974,5.2
1730186312,1944,7.6,974,5.2
1730186314,1944,7.6,974,5.2
1730186316,1944,7.6,975,5.2
1730186323,1944,7.6,975,5.2
1730186325,1944,7.6,975,5.2
1730186327,1944,7.6,975,5.2
1730186329,1944,7.6,975,5.2
1730186331,1944,7.6,975,5.2
1730186333,1944,7.6,976,5.2
1730186335,1944,7.6,976,5.2
1730186337,1944,7.6,976,5.2
1730186339,1944,7.6,976,5.2
1730186342,1944,7.6,976,5.2
1730186344,1944,7.6,976,5.2
1730186347,1944,7.6,980,5.2
1730186349,1944,7.6,980,5.2
1730186351,1944,7.6,981,5.2
1730186353,1944,7.6,981,5.2
1730186355,1944,7.6,981,5.2
1730186357,1944,7.6,981,5.2
1730186358,1944,7.6,981,5.2
1730186361,1944,7.6,982,5.2
1730186364,1944,7.6,982,5.2
1730186368,1944,7.6,982,5.2
1730186370,1944,7.6,982,5.2
1730186372,1944,7.6,982,5.2
1730186374,1944,7.6,982,5.2
1730186376,1944,7.6,982,5.2
1730186377,1944,7.6,982,5.2
1730186379,1944,7.6,982,5.2
1730186380,1944,7.6,982,5.2
1730186384,1944,7.6,982,5.2
1730186386,1944,7.6,982,5.2
1730186389,1944,7.6,982,5.2
1730186391,1944,7.6,984,5.2
1730186393,1944,7.6,984,5.2
1730186400,1944,7.6,984,5.2
1730186402,1944,7.6,984,5.2
1730186405,1944,7.6,984,5.2
1730186408,1944,7.6,984,5.2
1730186411,1944,7.6,984,5.2
1730186413,1944,7.6,984,5.2
1730186420,1944,7.6,984,5.2
1730186422,1944,7.6,984,5.2
1730186424,1944,7.6,984,5.2
1730186426,1944,7.6,984,5.2
1730186429,1944,7.6,984,5.2
1730186430,1944,7.6,984,5.2
1730186432,1944,7.6,984,5.2
1730186433,1944,7.6,984,5.2
1730186440,1944,7.6,984,5.2
1730186442,1944,7.6,984,5.2
1730186443,1944,7.6,984,5.2
1730186446,1944,7.6,984,5.2
1730186451,1944,7.6,984,5.2
1730186453,1944,7.6,984,5.2
1730186456,1944,7.6,984,5.2
1730186458,1944,7.6,984,5.2
1730186460,1944,7.6,984,5.2
1730186462,1944,7.6,984,5.2
1730186464,1944,7.6,986,5.2
1730186466,1944,7.6,986,5.2
1730186468,1944,7.6,986,5.2
1730186470,1944,7.6,986,5.2
1730186473,1944,7.6,986,5.2
1730186475,1944,7.6,986,5.2
1730186478,1946,7.6,989,5.3
1730186480,1953,7.6,993,5.3
1730186482,1953,7.6,993,5.3
1730186485,1953,7.6,993,5.3
1730186488,1953,7.6,995,5.3
1730186492,1953,7.6,995,5.3
