time,l_abs,l_per,b_abs,b_per
1731413092,22211,12.5,9183,8.4
1731413094,22212,12.6,9185,8.4
1731413098,22227,12.6,9218,8.4
1731413101,22227,12.6,9218,8.4
1731413104,22244,12.6,9228,8.5
1731413108,22258,12.6,9236,8.5
1731413115,22258,12.6,9236,8.5
1731413121,22260,12.6,9237,8.5
1731413128,22261,12.6,9238,8.5
1731413132,22261,12.6,9238,8.5
1731413138,22279,12.6,9256,8.5
1731413145,22279,12.6,9256,8.5
1731413161,22279,12.6,9256,8.5
1731413167,22279,12.6,9256,8.5
1731413169,22279,12.6,9256,8.5
1731413179,22280,12.6,9258,8.5
1731413182,22289,12.6,9266,8.5
1731413189,22311,12.6,9281,8.5
1731413196,22311,12.6,9281,8.5
1731413201,22311,12.6,9281,8.5
1731413217,22311,12.6,9281,8.5
1731413220,22770,12.9,9418,8.6
1731413222,22770,12.9,9418,8.6
1731413224,22779,12.9,9422,8.6
1731413232,22779,12.9,9422,8.6
1731413234,22779,12.9,9422,8.6
1731413249,22784,12.9,9430,8.6
1731413264,22784,12.9,9430,8.6
1731413268,22784,12.9,9430,8.6
1731413270,22787,12.9,9432,8.6
1731413292,22787,12.9,9432,8.6
1731413299,22789,12.9,9433,8.6
1731413316,22789,12.9,9433,8.6
1731413319,22789,12.9,9433,8.6
1731413323,22789,12.9,9433,8.6
1731413358,22789,12.9,9433,8.6
1731413368,22789,12.9,9433,8.6
1731413379,22789,12.9,9433,8.6
1731413387,22792,12.9,9435,8.6
1731413403,22818,12.9,9442,8.7
1731413405,22818,12.9,9442,8.7
1731413408,22818,12.9,9442,8.7
1731413431,22818,12.9,9442,8.7
1731413451,22818,12.9,9442,8.7
1731413468,22820,12.9,9443,8.7
1731413475,22820,12.9,9443,8.7
1731413499,22914,12.9,9490,8.7
1731413502,22914,12.9,9490,8.7
1731413506,22914,12.9,9490,8.7
1731413524,22914,12.9,9490,8.7
1731413526,22914,12.9,9490,8.7
1731413540,22914,12.9,9490,8.7
1731413544,22914,12.9,9490,8.7
1731413553,22914,12.9,9490,8.7
1731413579,22914,12.9,9490,8.7
1731413582,22914,12.9,9490,8.7
1731413587,22914,12.9,9490,8.7
1731413618,22917,12.9,9492,8.7
1731413659,22917,12.9,9492,8.7
1731413662,22921,13.0,9494,8.7
1731413671,22921,13.0,9494,8.7
1731413680,22921,13.0,9494,8.7
1731413713,22921,13.0,9494,8.7
1731413774,22923,13.0,9495,8.7
1731413795,22923,13.0,9495,8.7
1731413823,22923,13.0,9495,8.7
1731413832,22923,13.0,9495,8.7
1731413847,22924,13.0,9496,8.7
1731413866,22924,13.0,9496,8.7
1731413869,22924,13.0,9496,8.7
1731413872,22924,13.0,9496,8.7
1731413892,22924,13.0,9496,8.7
1731413905,22924,13.0,9496,8.7
1731413921,22924,13.0,9496,8.7
1731413923,22924,13.0,9496,8.7
1731413927,22924,13.0,9496,8.7
1731413931,22924,13.0,9496,8.7
1731413965,22924,13.0,9496,8.7
1731413969,22935,13.0,9504,8.7
1731413977,23029,13.0,9568,8.8
1731413998,23415,13.2,9830,9.0
1731414002,23420,13.2,9833,9.0
1731414017,23420,13.2,9833,9.0
1731414030,23420,13.2,9833,9.0
1731414040,23420,13.2,9833,9.0
1731414056,23420,13.2,9833,9.0
1731414104,23442,13.2,9848,9.0
1731414106,23442,13.2,9848,9.0
1731414110,23444,13.2,9849,9.0
1731414121,23444,13.2,9849,9.0
1731414134,23444,13.2,9849,9.0
1731414139,23446,13.2,9851,9.0
1731414168,23451,13.3,9858,9.0
1731414182,23451,13.3,9858,9.0
1731414222,23451,13.3,9858,9.0
1731414229,23451,13.3,9858,9.0
1731414237,23463,13.3,9867,9.0
1731414281,23470,13.3,9873,9.0
1731414293,23470,13.3,9873,9.0
1731414300,23470,13.3,9873,9.0
1731414357,23470,13.3,9873,9.0
1731414365,23470,13.3,9873,9.0
1731414395,23470,13.3,9873,9.0
1731414406,23472,13.3,9874,9.0
1731414427,23472,13.3,9874,9.0
1731414439,23472,13.3,9874,9.0
1731414442,23472,13.3,9874,9.0
1731414577,23472,13.3,9874,9.0
1731414589,23472,13.3,9874,9.0
1731414592,23473,13.3,9876,9.1
1731414609,23473,13.3,9876,9.1
1731414626,23477,13.3,9879,9.1
1731414633,23477,13.3,9879,9.1
1731414650,23480,13.3,9882,9.1
1731414656,23480,13.3,9882,9.1
1731414716,23480,13.3,9882,9.1
1731414739,23495,13.3,9890,9.1
1731414743,23495,13.3,9890,9.1
1731414761,23495,13.3,9890,9.1
1731414790,23495,13.3,9890,9.1
1731414840,23495,13.3,9890,9.1
1731414858,23497,13.3,9891,9.1
1731414902,23497,13.3,9891,9.1
1731414923,23500,13.3,9896,9.1
1731414928,23500,13.3,9896,9.1
1731415000,23500,13.3,9896,9.1
1731415027,23500,13.3,9896,9.1
1731415071,23500,13.3,9896,9.1
1731415096,23500,13.3,9896,9.1
1731415135,23504,13.3,9898,9.1
1731415141,23504,13.3,9898,9.1
1731415159,23504,13.3,9898,9.1
1731415184,23504,13.3,9898,9.1
1731415197,23504,13.3,9898,9.1
1731415209,23504,13.3,9898,9.1
1731415341,23504,13.3,9898,9.1
1731415419,23504,13.3,9898,9.1
1731415426,23504,13.3,9898,9.1
1731415450,23504,13.3,9898,9.1
1731415483,23504,13.3,9898,9.1
1731415536,23504,13.3,9898,9.1
1731415560,23504,13.3,9898,9.1
1731415572,23504,13.3,9898,9.1
1731415597,23504,13.3,9898,9.1
1731415600,23537,13.3,9928,9.1
1731415605,23537,13.3,9928,9.1
1731415673,23541,13.3,9931,9.1
1731415701,23545,13.3,9932,9.1
1731415719,23547,13.3,9934,9.1
1731415744,23547,13.3,9934,9.1
1731415786,23547,13.3,9934,9.1
1731415847,23569,13.3,9951,9.1
1731415870,23569,13.3,9951,9.1
1731415952,23569,13.3,9951,9.1
1731415982,23569,13.3,9951,9.1
1731416016,23569,13.3,9951,9.1
1731416048,23569,13.3,9951,9.1
1731416154,23569,13.3,9951,9.1
1731416163,23569,13.3,9951,9.1
1731416170,23569,13.3,9951,9.1
1731416208,23569,13.3,9951,9.1
1731416263,23569,13.3,9951,9.1
1731416296,23569,13.3,9951,9.1
1731416390,23569,13.3,9951,9.1
1731416410,23569,13.3,9951,9.1
1731416500,23569,13.3,9951,9.1
1731416552,23569,13.3,9951,9.1
1731416561,23569,13.3,9952,9.1
1731416713,23569,13.3,9952,9.1
1731416753,23569,13.3,9952,9.1
1731416760,23572,13.3,9954,9.1
1731416782,23572,13.3,9954,9.1
1731416797,23572,13.3,9954,9.1
1731416829,23572,13.3,9954,9.1
1731416863,23572,13.3,9954,9.1
1731416908,23572,13.3,9954,9.1
1731417110,23572,13.3,9954,9.1
1731417115,23588,13.3,9965,9.1
1731417169,23588,13.3,9965,9.1
1731417172,23588,13.3,9965,9.1
1731417177,23590,13.3,9968,9.1
1731417448,23591,13.3,9970,9.1
1731417521,23591,13.3,9970,9.1
1731417537,23591,13.3,9970,9.1
1731417593,23591,13.3,9970,9.1
1731417626,23605,13.3,9975,9.1
1731417633,23605,13.3,9975,9.1
1731417735,23605,13.3,9975,9.1
1731417745,23605,13.3,9975,9.1
1731417807,23605,13.3,9975,9.1
1731417904,23605,13.3,9975,9.1
1731417985,23605,13.3,9975,9.1
1731418035,23605,13.3,9975,9.1
1731418098,23605,13.3,9975,9.1
1731418101,23605,13.3,9975,9.1
1731418146,23605,13.3,9975,9.1
1731418162,23606,13.3,9976,9.1
1731418177,23606,13.3,9976,9.1
1731418192,23606,13.3,9976,9.1
1731418207,23617,13.3,9979,9.1
1731418350,23617,13.3,9979,9.1
1731418354,24415,13.8,10353,9.5
1731418506,24415,13.8,10353,9.5
1731418696,24415,13.8,10354,9.5
1731418771,24418,13.8,10358,9.5
1731418794,24420,13.8,10361,9.5
1731418906,24420,13.8,10361,9.5
1731418991,24420,13.8,10361,9.5
1731419050,24420,13.8,10361,9.5
1731419115,24420,13.8,10361,9.5
1731419241,24420,13.8,10361,9.5
1731419290,24422,13.8,10364,9.5
1731419346,24422,13.8,10364,9.5
1731419676,24422,13.8,10364,9.5
1731419763,24422,13.8,10364,9.5
1731419780,24422,13.8,10364,9.5
1731419860,24422,13.8,10364,9.5
1731420035,24422,13.8,10364,9.5
1731420048,24422,13.8,10364,9.5
1731420162,24422,13.8,10364,9.5
1731420235,24425,13.8,10366,9.5
1731420486,24425,13.8,10366,9.5
1731420891,24425,13.8,10366,9.5
1731420972,24425,13.8,10366,9.5
1731420991,24425,13.8,10366,9.5
1731421041,24425,13.8,10366,9.5
1731421072,24425,13.8,10366,9.5
1731421093,24425,13.8,10366,9.5
1731421116,24426,13.8,10367,9.5
1731421174,24426,13.8,10367,9.5
1731421358,24426,13.8,10367,9.5
1731421390,24426,13.8,10367,9.5
1731421720,24426,13.8,10367,9.5
1731421944,24426,13.8,10367,9.5
1731421958,24426,13.8,10367,9.5
1731422008,24430,13.8,10368,9.5
1731422050,24430,13.8,10368,9.5
1731422219,24430,13.8,10368,9.5
1731422451,24430,13.8,10368,9.5
1731422499,24434,13.8,10369,9.5
1731422664,24434,13.8,10369,9.5
1731422705,24434,13.8,10369,9.5
1731423131,24434,13.8,10369,9.5
1731423349,24434,13.8,10369,9.5
1731423455,24434,13.8,10369,9.5
1731423556,24440,13.8,10375,9.5
1731423566,24440,13.8,10376,9.5
1731423615,24440,13.8,10376,9.5
1731423622,24440,13.8,10376,9.5
1731423674,24440,13.8,10376,9.5
1731423692,24440,13.8,10376,9.5
1731423708,24440,13.8,10376,9.5
1731423716,24441,13.8,10378,9.5
1731423728,24441,13.8,10378,9.5
1731423833,24441,13.8,10378,9.5
1731423843,24441,13.8,10378,9.5
1731423908,24441,13.8,10378,9.5
1731424232,24441,13.8,10378,9.5
1731424408,24441,13.8,10378,9.5
1731424494,24441,13.8,10378,9.5
1731424667,24447,13.8,10383,9.5
1731425333,24447,13.8,10383,9.5
1731425541,24447,13.8,10383,9.5
1731425763,24485,13.8,10405,9.5
1731425852,24485,13.8,10405,9.5
1731425944,24485,13.8,10405,9.5
1731426227,24485,13.8,10405,9.5
1731426276,24485,13.8,10405,9.5
1731427147,24485,13.8,10405,9.5
1731427369,24485,13.8,10405,9.5
1731427412,24485,13.8,10405,9.5
1731427473,24485,13.8,10405,9.5
1731427984,24486,13.8,10406,9.5
1731428233,24486,13.8,10406,9.5
1731428337,25921,14.6,11087,10.2
1731428407,25921,14.6,11087,10.2
1731428900,25921,14.6,11087,10.2
1731428966,25921,14.6,11087,10.2
1731429103,25921,14.6,11087,10.2
1731429587,25921,14.6,11087,10.2
1731430029,25921,14.6,11087,10.2
1731430334,25921,14.6,11087,10.2
1731430357,25921,14.6,11087,10.2
1731430574,25921,14.6,11087,10.2
1731430605,25921,14.6,11087,10.2
1731430617,25921,14.6,11087,10.2
1731430780,25921,14.6,11087,10.2
1731431117,25921,14.6,11087,10.2
1731431264,25921,14.6,11087,10.2
1731432002,25922,14.6,11088,10.2
1731432207,25922,14.6,11088,10.2
1731432393,25922,14.6,11088,10.2
1731432458,25922,14.6,11088,10.2
1731432633,25925,14.6,11094,10.2
1731433615,25925,14.6,11094,10.2
1731433857,25925,14.6,11094,10.2
1731434157,25925,14.6,11094,10.2
1731435314,25925,14.6,11094,10.2
1731436130,25931,14.7,11097,10.2
1731436432,25931,14.7,11097,10.2
1731436668,25931,14.7,11097,10.2
1731437250,25931,14.7,11097,10.2
1731437440,25931,14.7,11097,10.2
1731437678,25931,14.7,11097,10.2
1731437697,25931,14.7,11097,10.2
1731437708,25931,14.7,11097,10.2
1731437730,25935,14.7,11098,10.2
1731437753,25935,14.7,11098,10.2
1731437841,25935,14.7,11098,10.2
1731437896,25935,14.7,11098,10.2
1731437958,25935,14.7,11098,10.2
1731438006,25935,14.7,11098,10.2
1731438018,25935,14.7,11098,10.2
1731438081,25937,14.7,11101,10.2
1731438281,25939,14.7,11103,10.2
1731439387,25943,14.7,11105,10.2
1731439544,25943,14.7,11105,10.2
1731439664,25943,14.7,11105,10.2
1731439967,25944,14.7,11106,10.2
1731440148,25944,14.7,11106,10.2
1731440350,25944,14.7,11106,10.2
1731441615,25944,14.7,11106,10.2
1731441879,26077,14.7,11124,10.2
1731442176,26077,14.7,11124,10.2
1731442260,26077,14.7,11124,10.2
1731442811,26145,14.8,11148,10.2
1731442952,26145,14.8,11148,10.2
1731443305,26145,14.8,11148,10.2
1731443690,26145,14.8,11148,10.2
1731443878,26145,14.8,11148,10.2
1731444240,26145,14.8,11148,10.2
1731444260,26145,14.8,11148,10.2
1731444598,26145,14.8,11148,10.2
1731445031,26149,14.8,11149,10.2
1731445431,26149,14.8,11149,10.2
1731446104,26149,14.8,11149,10.2
1731446157,26150,14.8,11150,10.2
1731446957,26150,14.8,11150,10.2
1731447883,26150,14.8,11150,10.2
1731448198,26150,14.8,11150,10.2
1731448506,26150,14.8,11150,10.2
1731448835,26153,14.8,11155,10.2
1731449661,26153,14.8,11155,10.2
1731451747,26153,14.8,11155,10.2
1731452362,26153,14.8,11155,10.2
1731452824,26157,14.8,11160,10.2
1731453057,26157,14.8,11160,10.2
1731453306,26157,14.8,11160,10.2
1731454272,26157,14.8,11160,10.2
1731454359,26157,14.8,11160,10.2
1731454683,26157,14.8,11160,10.2
1731454840,26157,14.8,11160,10.2
1731454845,26157,14.8,11160,10.2
1731454878,26157,14.8,11160,10.2
1731454913,26157,14.8,11160,10.2
1731454968,26157,14.8,11160,10.2
1731454992,26157,14.8,11160,10.2
1731455095,26157,14.8,11160,10.2
1731455101,26157,14.8,11160,10.2
1731455155,26157,14.8,11160,10.2
1731455925,26157,14.8,11160,10.2
1731456540,26157,14.8,11160,10.2
1731457739,26157,14.8,11160,10.2
1731457784,26157,14.8,11160,10.2
1731458381,26157,14.8,11160,10.2
1731458429,26157,14.8,11160,10.2
1731458721,26157,14.8,11160,10.2
1731458727,26159,14.8,11161,10.2
1731458769,26159,14.8,11161,10.2
1731458930,26303,14.9,11195,10.3
1731459061,26303,14.9,11196,10.3
1731459377,26303,14.9,11196,10.3
1731459403,26303,14.9,11196,10.3
1731460365,26303,14.9,11196,10.3
1731460478,26303,14.9,11196,10.3
1731461106,26303,14.9,11196,10.3
1731461277,26303,14.9,11196,10.3
1731461863,26303,14.9,11196,10.3
