time,l_abs,l_per,b_abs,b_per
1743052232,22296,12.6,9238,8.5
1743052232,22311,12.6,9270,8.5
1743052234,22322,12.6,9280,8.5
1743052238,22322,12.6,9280,8.5
1743052245,22326,12.6,9284,8.5
1743052249,22346,12.6,9295,8.5
1743052252,22364,12.6,9313,8.5
1743052254,22379,12.6,9323,8.5
1743052272,22381,12.6,9324,8.5
1743052276,22381,12.6,9325,8.5
1743052284,22387,12.6,9327,8.5
1743052295,22389,12.6,9330,8.5
1743052305,22389,12.6,9330,8.5
1743052312,22389,12.6,9330,8.5
1743052322,22389,12.6,9330,8.5
1743052337,22389,12.6,9330,8.5
1743052343,22403,12.7,9338,8.6
1743052352,22407,12.7,9340,8.6
1743052355,22409,12.7,9341,8.6
1743052379,22409,12.7,9341,8.6
1743052382,22410,12.7,9343,8.6
1743052386,22435,12.7,9360,8.6
1743052401,22435,12.7,9360,8.6
1743052410,22435,12.7,9360,8.6
1743052415,22435,12.7,9360,8.6
1743052419,22435,12.7,9360,8.6
1743052422,22435,12.7,9360,8.6
1743052434,22914,12.9,9671,8.9
1743052466,22916,12.9,9672,8.9
1743052477,22916,12.9,9672,8.9
1743052493,22916,12.9,9672,8.9
1743052502,22919,12.9,9674,8.9
1743052505,22919,12.9,9674,8.9
1743052509,22919,12.9,9674,8.9
1743052527,22919,12.9,9674,8.9
1743052535,22919,12.9,9674,8.9
1743052539,22919,12.9,9674,8.9
1743052544,22919,12.9,9674,8.9
1743052561,22919,12.9,9674,8.9
1743052566,22919,12.9,9674,8.9
1743052579,22921,13.0,9675,8.9
1743052591,22921,13.0,9675,8.9
1743052594,22921,13.0,9675,8.9
1743052612,22925,13.0,9677,8.9
1743052621,22925,13.0,9677,8.9
1743052640,22925,13.0,9677,8.9
1743052642,22931,13.0,9681,8.9
1743052655,22931,13.0,9681,8.9
1743052701,22931,13.0,9683,8.9
1743052715,22931,13.0,9683,8.9
1743052723,22931,13.0,9683,8.9
1743052732,22933,13.0,9684,8.9
1743052740,22933,13.0,9684,8.9
1743052773,22937,13.0,9691,8.9
1743052777,22937,13.0,9691,8.9
1743052801,22937,13.0,9691,8.9
1743052827,22937,13.0,9691,8.9
1743052840,22937,13.0,9691,8.9
1743052853,22937,13.0,9691,8.9
1743052861,22937,13.0,9691,8.9
1743052869,22937,13.0,9691,8.9
1743052878,22937,13.0,9691,8.9
1743052884,22948,13.0,9694,8.9
1743052911,22948,13.0,9694,8.9
1743052919,22960,13.0,9703,8.9
1743052923,22960,13.0,9703,8.9
1743052936,22977,13.0,9711,8.9
1743052947,22977,13.0,9711,8.9
1743052955,22977,13.0,9711,8.9
1743052977,22981,13.0,9712,8.9
1743052991,22981,13.0,9712,8.9
1743053008,22981,13.0,9712,8.9
1743053045,23459,13.3,9860,9.0
1743053090,23459,13.3,9860,9.0
1743053146,23459,13.3,9860,9.0
1743053149,23459,13.3,9860,9.0
1743053171,23459,13.3,9860,9.0
1743053185,23459,13.3,9860,9.0
1743053192,23459,13.3,9862,9.0
1743053212,23459,13.3,9862,9.0
1743053218,23461,13.3,9863,9.0
1743053287,23463,13.3,9864,9.0
1743053295,23463,13.3,9864,9.0
1743053303,23463,13.3,9864,9.0
1743053314,23466,13.3,9869,9.0
1743053341,23466,13.3,9869,9.0
1743053347,23468,13.3,9871,9.0
1743053371,23471,13.3,9873,9.0
1743053374,23471,13.3,9873,9.0
1743053397,23473,13.3,9874,9.0
1743053413,23473,13.3,9874,9.0
1743053429,23477,13.3,9876,9.0
1743053453,23477,13.3,9876,9.0
1743053485,23477,13.3,9876,9.0
1743053492,23477,13.3,9876,9.0
1743053532,23477,13.3,9876,9.0
1743053572,23479,13.3,9878,9.0
1743053657,23479,13.3,9878,9.0
1743053762,23479,13.3,9878,9.0
1743053776,23479,13.3,9878,9.0
1743053807,23479,13.3,9878,9.0
1743053847,23479,13.3,9878,9.0
1743053886,23479,13.3,9878,9.0
1743053908,23479,13.3,9878,9.0
1743053930,23496,13.3,9890,9.1
1743053951,23496,13.3,9890,9.1
1743053962,23496,13.3,9890,9.1
1743054051,23496,13.3,9890,9.1
1743054083,23496,13.3,9890,9.1
1743054161,23496,13.3,9890,9.1
1743054252,25112,14.2,10614,9.7
1743054290,25116,14.2,10618,9.7
1743054427,25116,14.2,10618,9.7
1743054484,25116,14.2,10618,9.7
1743054491,25116,14.2,10618,9.7
1743054522,25120,14.2,10619,9.7
1743054535,25122,14.2,10620,9.7
1743054554,25125,14.2,10624,9.7
1743054593,25125,14.2,10624,9.7
1743054624,25125,14.2,10624,9.7
1743054650,25125,14.2,10624,9.7
1743054670,25125,14.2,10624,9.7
1743054698,25125,14.2,10624,9.7
1743054737,25125,14.2,10624,9.7
1743054753,25125,14.2,10624,9.7
1743054850,25125,14.2,10624,9.7
1743054885,25125,14.2,10624,9.7
1743054905,25125,14.2,10624,9.7
1743054985,25125,14.2,10624,9.7
1743055029,25125,14.2,10624,9.7
1743055042,25161,14.2,10654,9.8
1743055107,25161,14.2,10654,9.8
1743055131,25161,14.2,10654,9.8
1743055135,25161,14.2,10654,9.8
1743055145,25161,14.2,10654,9.8
1743055148,25161,14.2,10654,9.8
1743055171,25163,14.2,10655,9.8
1743055175,25166,14.2,10657,9.8
1743055190,25166,14.2,10657,9.8
1743055277,25167,14.2,10658,9.8
1743055297,25167,14.2,10658,9.8
1743055321,25167,14.2,10658,9.8
1743055347,25167,14.2,10658,9.8
1743055368,25167,14.2,10658,9.8
1743055399,25167,14.2,10658,9.8
1743055458,25167,14.2,10658,9.8
1743055487,25171,14.2,10662,9.8
1743055506,25171,14.2,10662,9.8
1743055604,25171,14.2,10662,9.8
1743055624,25171,14.2,10662,9.8
1743055844,25172,14.2,10663,9.8
1743055867,25172,14.2,10663,9.8
1743056270,25179,14.2,10668,9.8
1743056278,25179,14.2,10668,9.8
1743056463,25182,14.2,10669,9.8
1743056467,25182,14.2,10669,9.8
1743056595,25182,14.2,10669,9.8
1743056603,25182,14.2,10669,9.8
1743056871,25182,14.2,10669,9.8
1743056956,25182,14.2,10669,9.8
1743057053,25182,14.2,10669,9.8
1743057088,25182,14.2,10669,9.8
1743057185,25182,14.2,10669,9.8
1743057227,25182,14.2,10669,9.8
1743057259,25182,14.2,10669,9.8
1743057461,25182,14.2,10669,9.8
1743057709,25182,14.2,10669,9.8
1743057795,25182,14.2,10669,9.8
1743058763,25188,14.2,10677,9.8
1743058811,25214,14.2,10684,9.8
1743058852,25214,14.2,10684,9.8
1743058926,25225,14.3,10692,9.8
1743058953,25225,14.3,10692,9.8
1743058975,25225,14.3,10692,9.8
1743059180,25240,14.3,10698,9.8
1743059545,25242,14.3,10699,9.8
1743059657,25243,14.3,10700,9.8
1743059684,25243,14.3,10700,9.8
1743059731,25243,14.3,10700,9.8
1743059748,25243,14.3,10700,9.8
1743059755,25243,14.3,10700,9.8
1743059784,25244,14.3,10702,9.8
1743059813,25244,14.3,10702,9.8
1743059853,25244,14.3,10702,9.8
1743059856,25247,14.3,10704,9.8
1743059987,25287,14.3,10727,9.8
1743060015,25287,14.3,10727,9.8
1743060060,25288,14.3,10728,9.8
1743060072,25288,14.3,10728,9.8
1743060185,25290,14.3,10732,9.8
1743060229,25290,14.3,10732,9.8
1743060512,25290,14.3,10732,9.8
1743061439,25290,14.3,10732,9.8
1743061554,25290,14.3,10732,9.8
1743061583,25290,14.3,10732,9.8
1743061599,25290,14.3,10732,9.8
1743061648,25291,14.3,10735,9.8
1743061800,25291,14.3,10735,9.8
1743061822,25291,14.3,10735,9.8
1743061862,25291,14.3,10735,9.8
1743061874,25291,14.3,10735,9.8
1743061943,25292,14.3,10736,9.8
1743061969,25292,14.3,10736,9.8
1743062094,25292,14.3,10736,9.8
1743062225,25292,14.3,10737,9.8
1743062311,25292,14.3,10737,9.8
1743062411,25292,14.3,10737,9.8
1743062427,25292,14.3,10737,9.8
1743062579,25475,14.4,10775,9.9
1743062630,25475,14.4,10775,9.9
1743062705,25475,14.4,10775,9.9
1743062811,25475,14.4,10775,9.9
1743062828,25475,14.4,10775,9.9
1743062856,25475,14.4,10775,9.9
1743062878,25475,14.4,10775,9.9
1743062889,25475,14.4,10775,9.9
1743062921,25475,14.4,10775,9.9
1743062929,25475,14.4,10775,9.9
1743063032,25475,14.4,10775,9.9
1743063058,26154,14.8,11104,10.2
1743063067,26154,14.8,11104,10.2
1743063075,26154,14.8,11104,10.2
1743063136,26154,14.8,11104,10.2
1743063610,26154,14.8,11104,10.2
1743063658,26154,14.8,11104,10.2
1743063841,26154,14.8,11104,10.2
1743063891,26154,14.8,11104,10.2
1743063900,26154,14.8,11104,10.2
1743063947,26154,14.8,11105,10.2
1743064546,26154,14.8,11105,10.2
1743064556,26154,14.8,11105,10.2
1743064608,26154,14.8,11105,10.2
1743064659,26154,14.8,11105,10.2
1743064757,26154,14.8,11105,10.2
1743064809,26154,14.8,11105,10.2
1743064881,26156,14.8,11108,10.2
1743064890,26156,14.8,11108,10.2
1743064940,26156,14.8,11108,10.2
1743064968,26156,14.8,11108,10.2
1743065416,26156,14.8,11108,10.2
1743065563,26156,14.8,11108,10.2
1743065804,26156,14.8,11108,10.2
1743066245,26156,14.8,11108,10.2
1743066471,26156,14.8,11108,10.2
1743066631,26156,14.8,11108,10.2
1743066693,26159,14.8,11113,10.2
1743066747,26159,14.8,11113,10.2
1743066868,26159,14.8,11113,10.2
1743067108,26167,14.8,11116,10.2
1743067183,26167,14.8,11116,10.2
1743067238,26167,14.8,11116,10.2
1743067276,26167,14.8,11116,10.2
1743067364,26171,14.8,11119,10.2
1743067385,26171,14.8,11120,10.2
1743067549,26171,14.8,11120,10.2
1743067590,26171,14.8,11120,10.2
1743067706,26171,14.8,11120,10.2
1743067739,26171,14.8,11120,10.2
1743068007,26171,14.8,11120,10.2
1743068062,26171,14.8,11120,10.2
1743068074,26171,14.8,11120,10.2
1743068939,26171,14.8,11120,10.2
1743069172,26171,14.8,11120,10.2
1743069329,26171,14.8,11120,10.2
1743069370,26171,14.8,11120,10.2
1743069421,26222,14.8,11135,10.2
1743069434,26222,14.8,11135,10.2
1743070059,26222,14.8,11135,10.2
1743070080,26222,14.8,11135,10.2
1743070099,26222,14.8,11135,10.2
1743070126,26222,14.8,11135,10.2
1743070129,26222,14.8,11136,10.2
1743070243,26222,14.8,11136,10.2
1743070326,26222,14.8,11136,10.2
1743070345,26222,14.8,11136,10.2
1743070372,26222,14.8,11136,10.2
1743070409,26222,14.8,11136,10.2
1743070629,26222,14.8,11136,10.2
1743070893,26222,14.8,11136,10.2
1743071348,26222,14.8,11136,10.2
1743071384,26222,14.8,11136,10.2
1743071514,26222,14.8,11136,10.2
1743071781,26224,14.8,11139,10.2
1743071801,26689,15.1,11276,10.3
1743072148,26689,15.1,11276,10.3
1743072278,26689,15.1,11277,10.3
1743072371,26689,15.1,11277,10.3
1743072473,26689,15.1,11277,10.3
1743072642,26689,15.1,11277,10.3
1743073064,26689,15.1,11277,10.3
1743073706,26689,15.1,11277,10.3
1743073747,26689,15.1,11277,10.3
1743073912,26689,15.1,11277,10.3
1743074071,26689,15.1,11277,10.3
1743075701,26689,15.1,11277,10.3
1743076605,26689,15.1,11277,10.3
1743076631,26693,15.1,11279,10.3
1743076778,26693,15.1,11279,10.3
1743076782,26701,15.1,11294,10.3
1743077344,26701,15.1,11294,10.3
1743078207,26701,15.1,11294,10.3
1743079400,26701,15.1,11294,10.3
1743079614,26701,15.1,11294,10.3
1743079659,26701,15.1,11295,10.3
1743080893,26701,15.1,11295,10.3
1743080918,26701,15.1,11295,10.3
1743081474,26701,15.1,11295,10.3
1743081644,26701,15.1,11295,10.3
1743081855,26703,15.1,11298,10.3
1743082746,26703,15.1,11298,10.3
1743082957,26703,15.1,11299,10.4
1743083056,26703,15.1,11299,10.4
1743083863,26703,15.1,11299,10.4
1743083941,26703,15.1,11299,10.4
1743084154,26703,15.1,11299,10.4
1743084523,26703,15.1,11300,10.4
1743084940,26703,15.1,11301,10.4
1743085070,26707,15.1,11302,10.4
1743085199,26707,15.1,11302,10.4
1743085224,26707,15.1,11302,10.4
1743086525,26707,15.1,11302,10.4
1743086996,26707,15.1,11302,10.4
1743087360,26707,15.1,11302,10.4
1743087497,26707,15.1,11302,10.4
1743087827,26707,15.1,11302,10.4
1743087980,26707,15.1,11302,10.4
1743088755,26707,15.1,11302,10.4
1743088854,26707,15.1,11302,10.4
1743088965,26707,15.1,11302,10.4
1743089330,26707,15.1,11302,10.4
1743089348,26707,15.1,11302,10.4
1743089736,26721,15.1,11305,10.4
1743089889,26721,15.1,11305,10.4
1743089955,26721,15.1,11305,10.4
1743090106,26721,15.1,11305,10.4
1743090398,26721,15.1,11305,10.4
1743091241,26721,15.1,11305,10.4
1743091366,26721,15.1,11305,10.4
1743092263,26721,15.1,11305,10.4
