time,l_abs,l_per,b_abs,b_per
1725605563,7615,31.7742,4011,20.3852
1725605574,7615,31.7742,4011,20.3852
1725605839,7615,31.7742,4011,20.3852
1725606142,7615,31.7742,4011,20.3852
1725606153,7615,31.7742,4011,20.3852
1725606220,7615,31.7742,4011,20.3852
1725606315,7615,31.7742,4011,20.3852
1725606338,7615,31.7742,4011,20.3852
1725606889,7615,31.7742,4011,20.3852
1725607085,7615,31.7742,4011,20.3852
1725607355,7615,31.7742,4011,20.3852
1725607517,7623,31.8076,4014,20.4005
1725607935,7664,31.9786,4036,20.5123
1725607945,7664,31.9786,4036,20.5123
1725608355,7672,32.0120,4043,20.5479
1725608512,7681,32.0496,4056,20.6139
1725608516,7684,32.0621,4065,20.6597
1725609311,7684,32.0621,4065,20.6597
1725609445,7713,32.1831,4096,20.8172
1725609449,7757,32.3667,4130,20.9900
1725610142,7757,32.3667,4130,20.9900
1725610268,7757,32.3667,4132,21.0002
1725610318,7757,32.3667,4132,21.0002
1725610453,7757,32.3667,4132,21.0002
1725612218,7757,32.3667,4132,21.0002
1725612655,7757,32.3667,4132,21.0002
1725613137,7757,32.3667,4133,21.0053
1725613225,7757,32.3667,4133,21.0053
1725613412,7757,32.3667,4137,21.0256
1725613750,7764,32.3959,4142,21.0510
1725613951,7764,32.3959,4142,21.0510
1725614544,7764,32.3959,4142,21.0510
1725614836,7764,32.3959,4142,21.0510
1725615001,7764,32.3959,4142,21.0510
1725615135,7764,32.3959,4142,21.0510
1725615233,7764,32.3959,4142,21.0510
1725615590,7764,32.3959,4142,21.0510
1725615651,7765,32.4001,4143,21.0561
1725615946,7885,32.9008,4163,21.1578
1725616310,7885,32.9008,4163,21.1578
1725617037,7885,32.9008,4163,21.1578
1725619087,7885,32.9008,4163,21.1578
1725619893,7885,32.9008,4163,21.1578
1725620015,7886,32.9049,4165,21.1679
1725620192,7886,32.9049,4165,21.1679
1725620863,7905,32.9842,4171,21.1984
1725621051,7905,32.9842,4171,21.1984
1725621108,7905,32.9842,4171,21.1984
1725621273,7905,32.9842,4171,21.1984
1725622384,7905,32.9842,4171,21.1984
1725622626,7905,32.9842,4171,21.1984
1725622654,7905,32.9842,4171,21.1984
1725622951,7905,32.9842,4171,21.1984
1725624413,7905,32.9842,4171,21.1984
1725624920,7905,32.9842,4171,21.1984
1725625224,7905,32.9842,4171,21.1984
1725625478,7905,32.9842,4171,21.1984
1725625492,7905,32.9842,4171,21.1984
1725625716,7907,32.9926,4174,21.2137
1725626767,7907,32.9926,4174,21.2137
1725627974,7907,32.9926,4174,21.2137
1725628145,7907,32.9926,4174,21.2137
1725628874,7965,33.2346,4202,21.3560
1725629078,7965,33.2346,4202,21.3560
1725630047,7965,33.2346,4202,21.3560
1725630847,7965,33.2346,4202,21.3560
1725630871,7966,33.2388,4203,21.3610
1725632859,7966,33.2388,4203,21.3610
1725633494,7966,33.2388,4203,21.3610
1725633972,7966,33.2388,4206,21.3763
1725635756,7966,33.2388,4206,21.3763
1725636754,7966,33.2388,4206,21.3763
1725637035,7966,33.2388,4206,21.3763
1725637292,7966,33.2388,4206,21.3763
1725637540,7966,33.2388,4206,21.3763
1725640337,7966,33.2388,4208,21.3865
1725641295,7966,33.2388,4208,21.3865
1725643271,7966,33.2388,4208,21.3865
1725643277,7966,33.2388,4209,21.3915
1725643354,7966,33.2388,4209,21.3915
1725643406,7966,33.2388,4209,21.3915
1725644027,7966,33.2388,4209,21.3915
1725645079,7966,33.2388,4209,21.3915
1725647980,7985,33.3180,4215,21.4220
1725648093,7985,33.3180,4215,21.4220
1725649804,7985,33.3180,4215,21.4220
1725650111,7985,33.3180,4215,21.4220
1725650195,7985,33.3180,4215,21.4220
1725650273,7985,33.3180,4215,21.4220
1725650467,7989,33.3347,4216,21.4271
1725651287,7989,33.3347,4216,21.4271
1725651629,8017,33.4516,4228,21.4881
1725651634,8032,33.5141,4241,21.5542
1725651729,8038,33.5392,4246,21.5796
1725651733,8042,33.5559,4249,21.5948
1725651750,8050,33.5893,4256,21.6304
1725651846,8050,33.5893,4256,21.6304
1725651851,8050,33.5893,4256,21.6304
1725651889,8050,33.5893,4256,21.6304
1725651959,8050,33.5893,4256,21.6304
1725652087,8050,33.5893,4256,21.6304
1725652098,8050,33.5893,4256,21.6304
1725652132,8050,33.5893,4256,21.6304
1725652162,8050,33.5893,4256,21.6304
1725652181,8050,33.5893,4256,21.6304
1725652227,8050,33.5893,4256,21.6304
1725652276,8050,33.5893,4256,21.6304
1725652817,8056,33.6143,4262,21.6609
1725652820,8056,33.6143,4262,21.6609
1725652824,8056,33.6143,4263,21.6660
1725652828,8056,33.6143,4263,21.6660
1725652832,8056,33.6143,4263,21.6660
1725652840,8056,33.6143,4263,21.6660
